	id	aspect	direct	factual	opinion	comp	question	dataset
0	11	1	0	1	0	1	What’s the least common multiple of 5 and 150	g
1	23	1	0	1	0	1	what is a common reason to file a suspicious activity report	g
2	184	0	1	1	0	1	What isan important difference between cpi and the gdp deflator is	g
3	266	1	0	1	0	1	What are the top 10 best songs with over a billion views	g
4	290	1	0	0	0	1	which idea best describes an element of an unlimited government	g
5	316	1	0	1	0	1	which statement best describes the slaves in ancient athens	g
6	337	0	0	0	0	1	what are the different political parties in the united states	g
7	348	1	0	1	0	1	which term best describes the type of government the united states has	g
8	349	1	0	0	1	1	who is best known for his advocacy of laissez-faire as the guiding principle for economic policy	g
9	352	1	0	0	1	1	who is the artist best known for the color purple	g
10	371	0	1	0	1	1	which is better holiday inn or white christmas	g
11	409	0	1	0	1	1	why precision rectifier is better than ordinary rectifier	g
12	410	1	1	1	0	1	which stadium is bigger real madrid or barcelona	g
13	425	0	0	1	0	1	what is the second biggest ship in the world	g
14	444	0	1	0	1	1	how close is an alaskan malamute to a wolf	g
15	523	0	0	0	0	1	what is common among all rr lyrae stars	g
16	536	0	1	1	0	1	what is common to ostrich emu and kiwi	g
17	579	0	1	1	0	1	how does the jewish calendar compared to our calendar	g
18	589	1	1	1	0	1	what is the effect of full annealing compared to normalizing	g
19	645	0	1	1	0	1	What is the difference between 38 special and 38 long colt	g
20	660	0	1	1	0	1	What is the difference between an o ring and x ring chain	g
21	691	0	1	1	0	1	What is the difference between arithmetic logic unit and control unit	g
22	698	0	1	1	0	1	What is the difference between common method variance and common method bias	g
23	699	0	1	1	0	1	What is the difference between grade i and grade ii listed buildings	g
24	705	0	1	1	0	1	What is the difference between half rate and full rate in gsm	g
25	710	0	1	1	0	1	What is the difference between hiatal hernia and sliding hiatal hernia	g
26	716	0	1	1	0	1	What is the difference between jellyfish and portuguese man of war	g
27	747	0	1	0	1	1	'is a bachelor''s degree the same as an honours degree'	g
28	762	0	1	1	0	1	What is the difference between joint stock company and company in india	g
29	820	0	1	1	0	1	What is the difference between judge and justice of the peace	g
30	833	0	1	1	0	1	What is the difference between magnetic south pole and geographic north pole	g
31	848	0	1	1	0	1	What is the difference between material safety data sheet and safety data sheet	g
32	863	0	1	1	0	1	What is the difference between neuromuscular junction and motor end plate	g
33	897	0	1	1	0	1	What is the difference between pin diode and pn junction diode	g
34	914	0	1	1	0	1	What is the difference between preparatory and payoff phase of glycolysis	g
35	915	0	1	1	0	1	What is the difference between safety relief valve and pressure relief valve	g
36	972	0	1	1	0	1	What is the difference between single cut and double cut files	g
37	1044	0	1	1	0	1	What is the difference between standing wave flume and venturi flume	g
38	1065	0	1	1	0	1	What is the difference between top of the lake and china girl	g
39	1067	0	1	1	0	1	what is difference between north america and south america	g
40	1093	0	1	1	0	1	how are red giants different from main sequence stars	g
41	1099	0	1	1	0	1	in what way is the soil in the delta of the river ganga different from that of the river godavari	g
42	1105	1	0	0	0	1	what was different about the election of 1920 concerning the 19th amendment	g
43	1142	0	1	1	0	1	why is the length of a lunar day different from the length of a solar day	g
44	1231	0	0	1	0	1	'who was india''s first woman judge in supreme court'	g
45	1244	1	0	1	0	1	Who was the first african american gymnast to go to the olympics	g
46	1280	1	0	1	0	1	Who was the first first european known to have crossed the mississippi river (2 wds.)	g
47	1313	1	0	1	0	1	'who was india''s first olympic medal win as a free nation'	g
48	1331	1	1	1	0	1	what was made first disneyland or disney world	g
49	1358	0	1	1	0	1	which book is first the davinci code or angels and demons	g
50	1369	1	1	1	0	1	which came first tcp/ip or osi	g
51	1392	1	1	1	0	1	which was a state first arkansas or kansas	g
