opinion	question	dataset
0	What’s the least common multiple of 5 and 150	g
0	what is a common reason to file a suspicious activity report	g
0	What isan important difference between cpi and the gdp deflator is	g
0	What are the top 10 best songs with over a billion views	g
0	which idea best describes an element of an unlimited government	g
0	which statement best describes the slaves in ancient athens	g
0	what are the different political parties in the united states	g
0	which term best describes the type of government the united states has	g
1	who is best known for his advocacy of laissez-faire as the guiding principle for economic policy	g
1	who is the artist best known for the color purple	g
1	which is better holiday inn or white christmas	g
1	why precision rectifier is better than ordinary rectifier	g
0	which stadium is bigger real madrid or barcelona	g
0	what is the second biggest ship in the world	g
1	how close is an alaskan malamute to a wolf	g
0	what is common among all rr lyrae stars	g
0	what is common to ostrich emu and kiwi	g
0	how does the jewish calendar compared to our calendar	g
0	what is the effect of full annealing compared to normalizing	g
0	What is the difference between 38 special and 38 long colt	g
0	What is the difference between an o ring and x ring chain	g
0	What is the difference between arithmetic logic unit and control unit	g
0	What is the difference between common method variance and common method bias	g
0	What is the difference between grade i and grade ii listed buildings	g
0	What is the difference between half rate and full rate in gsm	g
0	What is the difference between hiatal hernia and sliding hiatal hernia	g
0	What is the difference between jellyfish and portuguese man of war	g
1	'is a bachelor''s degree the same as an honours degree'	g
0	What is the difference between joint stock company and company in india	g
0	What is the difference between judge and justice of the peace	g
0	What is the difference between magnetic south pole and geographic north pole	g
0	What is the difference between material safety data sheet and safety data sheet	g
0	What is the difference between neuromuscular junction and motor end plate	g
0	What is the difference between pin diode and pn junction diode	g
0	What is the difference between preparatory and payoff phase of glycolysis	g
0	What is the difference between safety relief valve and pressure relief valve	g
0	What is the difference between single cut and double cut files	g
0	What is the difference between standing wave flume and venturi flume	g
0	What is the difference between top of the lake and china girl	g
0	what is difference between north america and south america	g
0	how are red giants different from main sequence stars	g
0	in what way is the soil in the delta of the river ganga different from that of the river godavari	g
0	what was different about the election of 1920 concerning the 19th amendment	g
0	why is the length of a lunar day different from the length of a solar day	g
0	'who was india''s first woman judge in supreme court'	g
0	Who was the first african american gymnast to go to the olympics	g
0	Who was the first first european known to have crossed the mississippi river (2 wds.)	g
0	'who was india''s first olympic medal win as a free nation'	g
0	what was made first disneyland or disney world	g
0	which book is first the davinci code or angels and demons	g
0	which came first tcp/ip or osi	g
0	which was a state first arkansas or kansas	g
0	who built first airplanes for the united states navy in 1913	g
0	is the riddler and the joker the same character	g
0	who did the patriots play first this season	g
0	'who recorded country music''s first big hit million seller record and what was the name of the song'	g
0	who was first doctor fate or doctor strange	g
0	what are two ways the caravel was different from other boats of its time	g
0	what are the waves in order from smallest to biggest	g
0	What is the highest exporter of natural gas in the middle east	g
0	What are the highest grossing movies of all time in philippines	g
0	What is the highest number of test wickets by fast bowler	g
0	what is lebron james highest score in one game	g
0	Which are the five largest states in the us by area	g
0	What are the largest companies in the united states by market cap	g
0	what are the different types of combustion engines	g
0	What is the largest country in the world by land area	g
0	What is sequoia national park largest tree in the world	g
0	What are three largest cities in the world by population	g
0	What are the top ten largest cities in canada by population	g
0	what are the three largest cities in japan	g
0	what are the three largest cities in mississippi	g
0	'where is the world''s largest aquarium located'	g
0	'who has the world''s largest standing army'	g
0	Who was the last person to win triple crown in baseball	g
0	who became athens leading philosopher during its golden age	g
0	which letter of the english alphabet occurs least often in writing	g
0	What is longest continuously serving female mp in house of commons	g
0	what is the second longest running broadway show	g
0	what is the trail blazers longest winning streak	g
0	who has held the office of chief ministers for longest term	g
0	who served as the union cabinet minister of agriculture for longest duration	g
0	What is the state state with low level of urbanisation in india	g
0	during what time of the year is the arctic sea ice extent normally at its lowest	g
0	what are 2 major nascar events that occur in daytona beach	g
0	who has scored many goals in the world cup 2018	g
0	density of water is maximum at which temperature	g
0	who has won maximum oscar in his lifetime	g
0	does hong kong have more skyscrapers than new york	g
1	what type of rainfall is more common in india and why	g
0	who has more fans manchester united or city	g
0	who has more nba championships the east or west	g
0	who has played more games ronaldo or messi	g
0	who has won more civil wars ducks or beavers	g
0	who has won more games packers or bears	g
0	who became the first leader of the united russia	g
0	who has won more world series american or national	g
0	who sold more albums carrie underwood vs kelly clarkson	g
0	who sold more albums elvis or michael jackson	g
0	who sold more records elvis or the beatles	g
0	who won more el clasico real madrid or barcelona	g
0	who won more matches barcelona vs real madrid	g
0	why was immigration through angel island more difficult than immigration through ellis island	g
0	Who is a defender with most goals in premier league 2016/17	g
0	in what section of the country were most of the states with low populations of immigrants located	g
0	in which country of east asia are earthquakes most frequent	g
0	What are lebron james most field goal attempts in a game	g
0	Who had the most assists in an nba game by a team	g
0	What are the most points in one nba game single player	g
0	when does it rain the most in scotland	g
0	What are the most rushing yards in a game by a player	g
0	What is the most up to date version of internet explorer	g
0	What is the second most expensive car in the world	g
0	to what humanist from florence is the development of renaissance individualism most closely linked	g
0	What are the top 10 most popular name in the world	g
0	what movie holds the record for most money made in an opening weekend	g
0	what type of bond is most likely for two atoms with valences of 1 and 7	g
1	what type of rock would most	g
1	'what vincent van gogh''s most famous painting'	g
1	'what would you consider the three most important facts about pakistan''s neighbors'	g
0	'what''s the record for most points scored in nba game'	g
0	where are most nitrogen compounds excreted from humans	g
0	'where are most of the world''s earthquakes located'	g
0	where do most immigrants come from to australia	g
0	'where do most of kenya''s population live'	g
0	where do most shark attacks happen in the united states	g
0	where does most farming take place in china	g
0	'where does most of canada''s electricity come from'	g
0	where does most of the wood come from	g
0	where does most seismic activity occur on earth	g
0	'what''s the latest season of big bang theory'	g
0	where is eureka college located and who is easily its most notable alumni	g
0	'where is most of brazil''s population located'	g
0	'where is most of canada''s hydroelectric power generated'	g
0	where is most of the agriculture practiced on earth	g
0	where were most british textile mills located in 1850	g
1	where would a particle in the first excited state of an infinite well most likely be found	g
0	which agar will grow most types of neisseria	g
1	which group did most of the work on the latifundia	g
0	which life stage of the honey bee is most commonly fed upon by the varroa mite	g
0	which of the following pieces of legislation is most important to dsca	g
1	which western export has been most welcomed throughout the modern world	g
0	who are the parsis and where do most of them live today	g
0	who has most number of goals in football	g
0	who has scored most goals in international football	g
0	who has sung most number of songs in india	g
0	who has the record for most superbowl rings	g
0	who holds the record for most christmas number 1s	g
0	who holds the record for most consecutive wins in the nba	g
0	who holds the record for most home runs in a single season	g
0	who holds the record for most home runs in major league baseball	g
0	who holds the record for most rushing yards in a game	g
0	who is on the world most wanted list	g
0	who scored most goals in a premier league season	g
0	who was most adversely affected by the price revolution	g
1	who was most responsible for the second part of cell theory (that cells come from previous cells)	g
0	who wrote most of the songs for the beatles	g
0	what was the first public school in america	g
0	What is the nearest metro station to sarita vihar apollo hospital	g
0	which is older jeopardy or wheel of fortune	g
0	Who is oldest female tennis player to win a major	g
0	who is oldest living baseball hall of famer	g
0	which religion predominates in the countries of pakistan and bangladesh	g
1	which modulation scheme is preferred for dsss process	g
1	why is bronze preferred over copper metal for making statues	g
0	where does the us rank in world healthcare	g
0	who is the top us male figure skater competing for team usa	g
0	who is ranked 1 in the big 12	g
0	What is a record number of overtime periods in nhl playoffs	g
0	what are the 10 richest states in america	g
0	who served as chief minister of balochistan for shortest period	g
0	how are the american declaration of independence and french declaration of the rights of man similar	g
0	In what are the new york state constitution and the us constitution similar	g
0	what are some similarities between judaism and hinduism	g
0	what is the second strongest typhoon in the philippines	g
0	what is the latest version of photoshop cs6	g
0	what is the 2nd largest city in usa	g
1	is jimmy anderson the best bowler in the world	g
1	what is the best alternative energy source to replace fossil fuels	g
0	what is the best selling ea sports game	g
1	where do the best quality emeralds come from	g
1	where does the best quality silk come from	g
1	where is the best soil in the us	g
1	which is the best description of the settlers in the early days of the virginia colony	g
1	which is the best reason for not using the family car as a reference point	g
1	which organization is the best known international intergovernmental organization of igo	g
1	who has the best history in english football	g
0	who has the best nba record this season	g
0	who has the best record of the chasers	g
0	who have the best record in the nba	g
0	who is the best nba player of all time	g
0	who was the best player in 2010 world cup	g
0	what are the biggest sources of revenue for the federal government	g
0	what is the biggest contribution of meralco in luzon	g
0	what is the biggest john deere tractor in the world	g
0	what are the different parts that make up blood	g
0	what is the biggest super volcano on earth	g
0	what was the biggest battle in the american revolution	g
0	what was the biggest win in nba history	g
0	'what''s the biggest stadium in the us'	g
0	where is the biggest waterfall in the united states	g
0	where was the biggest great white shark found	g
0	which airport is the biggest in the united states	g
0	which is the biggest state in the united states of america	g
0	which is the biggest word in english dictionary	g
0	who had the biggest thighs in the nfl	g
0	who has the biggest brain in the world	g
0	who has the biggest ship on deadliest catch	g
0	what is the busiest hurricane season on record	g
0	what is the central aim of the paris agreement	g
0	what is the coldest temperature recorded in new york state	g
0	where is the deepest part of lake geneva	g
0	which is the deepest hole in the world	g
0	what are the difference between a shared pair and an unshared pair of electrons	g
0	What is the difference between a nova and an x-ray burst	g
0	What is the difference between house of representatives and senate	g
0	What is the difference in the college 3 point line in nba	g
0	what is the difference between a bernese mountain dog and a swiss mountain dog	g
0	what is the difference between a lawyer and an attorney in south africa	g
1	what is the difference between a lie and an exaggeration	g
0	what is the difference between a measurement and an observation	g
0	what is the difference between a state senator and a united states senator	g
0	what is the difference between a valley and a hollow	g
0	what is the difference between air brakes and hydraulic brakes	g
0	what is the difference between ampa receptors and nmda receptors	g
0	what is the difference between an equivalency credit and a course challenge	g
0	what is the difference between ansi lumens and lumens	g
0	what is the difference between baptist church and christian church	g
0	what is the difference between bn and bsc nursing	g
0	what is the difference between c5 and c6 christmas lights	g
0	what is the difference between canapes and hors d oeuvres	g
0	what is the difference between cape and csec	g
0	what is the difference between cardinal and intermediate directions	g
0	what is the difference between department and directorate	g
0	what is the difference between donald duck and daffy duck	g
1	what is the difference between east and west coast rap	g
0	what is the difference between jpmorgan and jpmorgan chase	g
0	what is the difference between king and lord	g
0	what is the difference between scene and act	g
0	what is the difference between staff of asclepius and caduceus	g
0	what is the difference between teller 1 2 and 3	g
0	what is the difference between type 1 and type 2 seyfert galaxies	g
0	what is the difference between yahweh and adonai	g
0	what the difference between european cup and champions league	g
0	'what''s the difference between a nucleotide and a nucleoside'	g
0	'what''s the difference between a proclamation and a declaration'	g
0	'what''s the difference between a specialist and a generalist'	g
0	'what''s the difference between cbc and fbc'	g
0	'what''s the difference between de jure and de facto'	g
0	'what''s the difference between lord and sir'	g
0	'what''s the difference between minecraft story mode and the complete adventure'	g
0	'what''s the difference between pvz free and pvz'	g
0	'what''s the difference between shazam and black adam'	g
0	What’s the difference between texas holdem and poker	g
0	what are the differences in windows 10 versions	g
0	what are the different types of t cells and their functions	g
0	what do the different pedals on a piano do	g
0	what is the dominant climate type for san diego	g
0	who won the espy for best nba player	g
0	who holds the record for the farthest home run	g
0	who has the faster internet in the world	g
0	What is the fastest car in the world street legal	g
0	which is the fastest running train on indian railways	g
0	who has the fastest 40 yard dash time at the nfl combine	g
0	who has the fastest serve in female tennis	g
1	who has the fastest slapshot in the nhl	g
0	who has the fastest time in the nfl combine	g
0	who scored the fastest century in ipl 2008	g
0	What is the first intelligence test to include a non-verbal scale as a measure of human intelligence	g
0	in which country the first submarine was made	g
0	what city is the first to celebrate new years	g
0	what was the first theme park in disney world	g
0	what were the first multi-cellular animals on earth	g
0	which english comedian became the first moomba king in 1967	g
0	which is the first hindi movie in india	g
0	which us city created the first formal us police department	g
0	who became the first high priest of israel	g
0	who became the first spokesperson for non-violent protests	g
0	who become the first president of the bharatiya janata party	g
0	'who become the first woman head india''s external affairs ministry'	g
0	who established the first trade settlement of the english in india	g
0	who fired the first shot at fort sumter	g
0	who fired the first shot in the civil war	g
0	who invented the first radio and what year	g
0	who is considered as the first film actress of sinhala cinema	g
0	who is considered to be the first leftist historian of india	g
0	who is considered to be the first pope of the christian church	g
0	who is said to be the first modern archaeologist	g
0	who is the first athlete getting arjun award	g
0	who is the first lady prime minister of india and what has she done for your country	g
0	who is the first listened to on spotify	g
0	who is the first president of bharatiya janata party	g
0	who is the first woman boxer to be honoured with the rajiv	g
0	who is the first woman nominated members of the rajya sabha	g
0	who landed on the moon for the first time	g
0	who made the first 1911 semi automatic pistol	g
0	who made the first tv in the world	g
0	who was the first actor who played james bond	g
0	who was the first african american elected to the united states senate	g
0	'who was the first african american to play in baseball''s major leagues'	g
0	who was the first african minister in kenya	g
0	who was the first canadian to win an olympic gold medal while competing for canada	g
0	who was the first caption of india cricket team	g
0	who was the first child star signed to motown	g
0	who was the first civilian governor of lagos state	g
0	who was the first common man to be elected president of the united states	g
0	who was the first documented person to be born on the continent of antarctica	g
0	who was the first governor of california after statehood	g
0	who was the first hero of the philippines	g
0	who was the first home minister of india	g
0	who was the first indian actress to receive the padma shri award	g
0	who was the first indian film maker to be honoured with the magsaysay award	g
0	who was the first inspector general of forests in india why was he appointed	g
